player	pos	tm	season	perf	salary
E'Twaun Moore	PG	['BOS', 'ORL', 'ORL', 'CHI', 'CHI']	['2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[170, 930, 765, 240, 677]	$8,081,363 
Ed Davis	PF	['TOR', 'TOR', 'TOT, TOR, MEM', 'MEM', 'LAL', 'POR']	['2010-11', '2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[1061, 949, 2412, 664, 1439, 1278]	$6,666,667 
Elfrid Payton	PG	['ORL', 'ORL']	['2014-15', '2015-16']	[1572, 1439]	$2,613,600 
Elliot Williams	SG	['POR', 'PHI', 'TOT, UTA, NOP', 'MEM']	['2011-12', '2013-14', '2014-15', '2015-16']	[117, 576, 114, 15]	$250,000 
Elton Brand	PF	['PHI', 'PHI', 'DAL', 'ATL', 'ATL', 'PHI']	['2010-11', '2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[2110, 1275, 1101, 922, 242, 157]	$1,000,000 
Emmanuel Mudiay	PG	['DEN']	['2015-16']	[1359]	$3,241,800 
Enes Kanter	C	['UTA', 'UTA', 'UTA', 'TOT, UTA, OKC', 'OKC']	['2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[577, 800, 1586, 3618, 1679]	$17,145,838 
Eric Bledsoe	PG	['LAC', 'LAC', 'LAC', 'PHO', 'PHO', 'PHO']	['2010-11', '2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[979, 261, 1128, 1140, 2191, 919]	$14,000,000 
Eric Gordon	SG	['LAC', 'NOH', 'NOH', 'NOP', 'NOP', 'NOP']	['2010-11', '2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[1593, 234, 863, 1313, 1148, 890]	$12,385,364 
Ersan Ilyasova	PF	['MIL', 'MIL', 'MIL', 'MIL', 'MIL', 'TOT, DET, ORL']	['2010-11', '2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[1004, 1392, 1628, 1025, 1012, 2502]	$8,400,000 
Evan Fournier	SG	['DEN', 'DEN', 'ORL', 'ORL']	['2012-13', '2013-14', '2014-15', '2015-16']	[269, 893, 931, 1616]	$17,000,000 
Evan Turner	SG	['PHI', 'PHI', 'PHI', 'TOT, PHI, IND', 'BOS', 'BOS']	['2010-11', '2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[1013, 1121, 1866, 3372, 1549, 1549]	$16,393,443 
Festus Ezeli	C	['GSW', 'GSW', 'GSW']	['2012-13', '2014-15', '2015-16']	[560, 382, 639]	$7,400,000 
Frank Kaminsky	C	['CHO']	['2015-16']	[1062]	$2,730,000 
Gal Mekel	PG	['DAL', 'NOP']	['2013-14', '2014-15']	[137, 20]	$315,760 
Garrett Temple	PG-SG	['TOT, SAS, MIL, CHA', 'WAS', 'WAS', 'WAS', 'WAS']	['2010-11', '2012-13', '2013-14', '2014-15', '2015-16']	[212, 506, 282, 367, 957]	$8,000,000 
Gary Harris	SG	['DEN', 'DEN']	['2014-15', '2015-16']	[289, 1316]	$1,655,880 
Gary Neal	SG	['SAS', 'SAS', 'SAS', 'TOT, MIL, CHA', 'TOT, CHO, MIN', 'WAS']	['2010-11', '2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[1028, 761, 880, 1350, 1462, 512]	$72,193 
George Hill	PG	['SAS', 'IND', 'IND', 'IND', 'IND', 'IND']	['2010-11', '2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[1264, 784, 1706, 1335, 1080, 1450]	$8,000,000 
Gerald Green	SF	['NJN', 'IND', 'PHO', 'PHO', 'MIA']	['2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[532, 601, 1659, 1111, 846]	$1,410,598 
Gerald Henderson	SG	['CHA', 'CHA', 'CHA', 'CHA', 'CHO', 'POR']	['2010-11', '2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[979, 1150, 1476, 1560, 1411, 900]	$9,000,000 
Giannis Antetokounmpo	SF	['MIL', 'MIL', 'MIL']	['2013-14', '2014-15', '2015-16']	[1013, 1764, 2306]	$2,995,421 
Glenn Robinson	SG-SF	['TOT, MIN, PHI', 'IND']	['2014-15', '2015-16']	[238, 273]	$1,050,500 
Goran Dragic	PG	['TOT, PHO, HOU', 'HOU', 'PHO', 'PHO', 'TOT, PHO, MIA', 'MIA']	['2010-11', '2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[1624, 1232, 1879, 2147, 3638, 1617]	$15,890,000 
Gordon Hayward	SF	['UTA', 'UTA', 'UTA', 'UTA', 'UTA', 'UTA']	['2010-11', '2011-12', '2012-13', '2013-14', '2014-15', '2015-16']	[587, 1204, 1431, 1977, 2081, 2191]	$16,073,140 
Gorgui Dieng	C	['MIN', 'MIN', 'MIN']	['2013-14', '2014-15', '2015-16']	[651, 1536, 1605]	$2,348,783 
